date,temperature
23-10-24-00-22-47,18
23-10-24-00-22-47,18
23-10-24-00-22-47,18
23-10-24-00-22-49,18
23-10-24-00-22-50,18
23-10-24-00-22-50,18
23-10-24-00-31-45,18
23-10-24-00-31-48,18
23-10-24-00-31-50,18
23-10-24-00-31-53,18
23-10-24-00-31-56,18
23-10-24-00-31-58,19
23-10-24-00-32-01,18
23-10-24-00-32-03,18
23-10-24-00-32-07,18
23-10-24-00-32-10,18
23-10-24-00-32-13,18
23-10-24-00-34-01,18
23-10-24-00-34-02,19
23-10-24-00-34-04,20
23-10-24-00-34-05,19
23-10-24-00-34-07,19
23-10-24-00-34-09,18
23-10-24-00-34-11,18
23-10-24-00-34-13,19
23-10-24-00-34-14,18
23-10-24-00-34-17,20
23-10-24-00-34-19,18
23-10-24-00-34-20,18
23-10-24-00-34-22,19
23-10-24-00-34-24,18
23-10-24-00-34-25,18
23-10-24-00-34-27,20
